hx,hy,hwidth,hheight,y,x,id,Indonisie,Negiria,Maroc,South Africa,Senegal,Kenya,France,Italie,Espagne,Allemagne,Suisse,Belgique,Albanie,Royaum Uni,Turquie,Autriche,Finlande,Canada,Mexique,Etats Uni,Guatemala,Cuba,Equateur,Brasil,Venezuela,Chili,Argentine,Bolivie,Nicaragua,Inde,Japan,Malaisie,Sri Lanka,
18,1,1,1,-7.385203,109.360822,Indonisie,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,2,1,1,9.5532358,8.0748501,Negiria,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,9,1,1,32.059897,-6.498269,Maroc,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,18,1,1,-26.203545,28.040021,South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,15,1,1,14.747088,-17.524029,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,22,1,1,-1.300459,36.823350,Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
7,7,1,1,48.859741,2.351521,France,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,
8,9,1,1,37.121532,14.541155,Italie,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,20,1,1,40.411059,-3.704976,Espagne,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,
10,20,1,1,48.1382614,11.5845093,Allemagne,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
