id,y,x,Indonisie,Negiria,Maroc,South Africa,Senegal,Kenya,France,Italie,Espagne,Allemagne,Suisse,Belgique,Albanie,Royaum Uni,Turquie,Autriche,Finlande,Canada,Mexique,Etats Uni,Guatemala,Cuba,Equateur,Brasil,Venezuela,Chili,Argentine,Bolivie,Nicaragua,Inde,Japan,Malaisie,Sri Lanka,
Indonisie,-7.385203,109.360822,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
Negiria,9.5532358,8.0748501,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Maroc,32.059897,-6.498269,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
South Africa,-26.203545,28.040021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Senegal,14.747088,-17.524029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kenya,-1.300459,36.823350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
France,48.859741,2.351521,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,
Italie,37.121532,14.541155,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Espagne,40.411059,-3.704976,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,
Allemagne,48.1382614,11.5845093,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Suisse,46.2035168,6.1400456,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
Belgique,50.848668,4.354445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Albanie,41.081506,19.988035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Royaum Uni,51.494121,-0.127039,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,
