group,variable,value
NG,NG,40
NG,MA,10
NG,ZA,10
NG,SN,10
NG,KE,10
NG,FR,10
NG,IT,10
NG,ES,10
NG,DE,40
NG,CH,10
NG,BE,10
NG,AL,10
NG,GB,10
NG,AT,10
NG,FI,10
NG,CA,10
NG,MX,10
NG,US,40
NG,GT,10
NG,CU,10
NG,EC,10
NG,BR,10
NG,VE,10
NG,CL,10
NG,AR,10
NG,BO,10
NG,NI,10
NG,IN,10
NG,JP,40
NG,MY,10
NG,LK,10
NG,IR,10
NG,AE,10
NG,ID,10
NG,TR,10
NG,PK,10
NG,CN,10
NG,TH,10
NG,AU,10
MA,NG,10
MA,MA,40
MA,ZA,10
MA,SN,10
MA,KE,10
MA,FR,10
MA,IT,10
MA,ES,10
MA,DE,10
MA,CH,40
MA,BE,10
MA,AL,10
MA,GB,10
MA,AT,10
MA,FI,10
MA,CA,10
MA,MX,10
MA,US,10
MA,GT,10
MA,CU,10
MA,EC,10
MA,BR,10
MA,VE,10
MA,CL,10
MA,AR,10
MA,BO,10
MA,NI,10
MA,IN,10
MA,JP,10
MA,MY,10
MA,LK,10
MA,IR,10
MA,AE,10
MA,ID,10
MA,TR,10
MA,PK,10
MA,CN,10
MA,TH,10
MA,AU,10
ZA,NG,10
ZA,MA,10
ZA,ZA,30
ZA,SN,10
ZA,KE,10
ZA,FR,10
ZA,IT,10
ZA,ES,10
ZA,DE,10
ZA,CH,10
ZA,BE,40
ZA,AL,10
ZA,GB,10
ZA,AT,10
ZA,FI,10
ZA,CA,10
ZA,MX,10
ZA,US,30
ZA,GT,10
ZA,CU,10
ZA,EC,10
ZA,BR,10
ZA,VE,10
ZA,CL,10
ZA,AR,10
ZA,BO,10
ZA,NI,10
ZA,IN,10
ZA,JP,10
ZA,MY,10
ZA,LK,10
ZA,IR,10
ZA,AE,10
ZA,ID,10
ZA,TR,10
ZA,PK,10
ZA,CN,10
ZA,TH,10
ZA,AU,10
SN,NG,10
SN,MA,10
SN,ZA,10
SN,SN,40
SN,KE,10
SN,FR,10
SN,IT,10
SN,ES,10
SN,DE,10
SN,CH,10
SN,BE,10
SN,AL,10
SN,GB,10
SN,AT,10
SN,FI,10
SN,CA,10
SN,MX,10
SN,US,10
SN,GT,10
SN,CU,10
SN,EC,10
SN,BR,10
SN,VE,10
SN,CL,10
SN,AR,10
SN,BO,10
SN,NI,10
SN,IN,10
SN,JP,10
SN,MY,10
SN,LK,10
SN,IR,10
SN,AE,10
SN,ID,10
SN,TR,40
SN,PK,10
SN,CN,10
SN,TH,10
SN,AU,10
KE,NG,10
KE,MA,10
KE,ZA,10
KE,SN,10
KE,KE,40
KE,FR,10
KE,IT,10
KE,ES,10
KE,DE,10
KE,CH,10
KE,BE,10
KE,AL,10
KE,GB,10
KE,AT,10
KE,FI,10
KE,CA,10
KE,MX,10
KE,US,10
KE,GT,10
KE,CU,40
KE,EC,10
KE,BR,10
KE,VE,10
KE,CL,10
KE,AR,10
KE,BO,10
KE,NI,10
KE,IN,10
KE,JP,10
KE,MY,10
KE,LK,10
KE,IR,10
KE,AE,10
KE,ID,10
KE,TR,10
KE,PK,10
KE,CN,10
KE,TH,10
KE,AU,10
FR,NG,10
FR,MA,10
FR,ZA,10
FR,SN,10
FR,KE,10
FR,FR,40
FR,IT,40
FR,ES,10
FR,DE,10
FR,CH,10
FR,BE,40
FR,AL,10
FR,GB,10
FR,AT,10
FR,FI,10
FR,CA,10
FR,MX,10
FR,US,30
FR,GT,10
FR,CU,10
FR,EC,10
FR,BR,10
FR,VE,10
FR,CL,10
FR,AR,10
FR,BO,10
FR,NI,10
FR,IN,10
FR,JP,10
FR,MY,10
FR,LK,10
FR,IR,10
FR,AE,10
FR,ID,10
FR,TR,10
FR,PK,10
FR,CN,40
FR,TH,10
FR,AU,10
IT,NG,10
IT,MA,10
IT,ZA,40
IT,SN,10
IT,KE,10
IT,FR,10
IT,IT,40
IT,ES,10
IT,DE,10
IT,CH,10
IT,BE,10
IT,AL,10
IT,GB,10
IT,AT,10
IT,FI,10
IT,CA,10
IT,MX,10
IT,US,40
IT,GT,10
IT,CU,10
IT,EC,10
IT,BR,10
IT,VE,10
IT,CL,10
IT,AR,10
IT,BO,10
IT,NI,10
IT,IN,10
IT,JP,10
IT,MY,10
IT,LK,10
IT,IR,10
IT,AE,10
IT,ID,10
IT,TR,10
IT,PK,10
IT,CN,10
IT,TH,10
IT,AU,10
ES,NG,10
ES,MA,10
ES,ZA,10
ES,SN,10
ES,KE,10
ES,FR,10
ES,IT,10
ES,ES,40
ES,DE,10
ES,CH,10
ES,BE,10
ES,AL,10
ES,GB,30
ES,AT,10
ES,FI,10
ES,CA,10
ES,MX,10
ES,US,80
ES,GT,10
ES,CU,10
ES,EC,10
ES,BR,10
ES,VE,40
ES,CL,10
ES,AR,10
ES,BO,10
ES,NI,10
ES,IN,30
ES,JP,10
ES,MY,10
ES,LK,40
ES,IR,10
ES,AE,10
ES,ID,10
ES,TR,10
ES,PK,10
ES,CN,10
ES,TH,10
ES,AU,10
DE,NG,10
DE,MA,10
DE,ZA,10
DE,SN,10
DE,KE,10
DE,FR,10
DE,IT,10
DE,ES,40
DE,DE,10
DE,CH,10
DE,BE,10
DE,AL,10
DE,GB,10
DE,AT,10
DE,FI,10
DE,CA,10
DE,MX,10
DE,US,40
DE,GT,10
DE,CU,10
DE,EC,10
DE,BR,10
DE,VE,10
DE,CL,10
DE,AR,10
DE,BO,10
DE,NI,10
DE,IN,10
DE,JP,10
DE,MY,10
DE,LK,10
DE,IR,10
DE,AE,10
DE,ID,10
DE,TR,10
DE,PK,10
DE,CN,10
DE,TH,10
DE,AU,40
CH,NG,10
CH,MA,10
CH,ZA,10
CH,SN,10
CH,KE,10
CH,FR,10
CH,IT,10
CH,ES,10
CH,DE,10
CH,CH,10
CH,BE,10
CH,AL,10
CH,GB,10
CH,AT,10
CH,FI,10
CH,CA,30
CH,MX,10
CH,US,10
CH,GT,10
CH,CU,10
CH,EC,10
CH,BR,10
CH,VE,10
CH,CL,10
CH,AR,10
CH,BO,10
CH,NI,10
CH,IN,10
CH,JP,40
CH,MY,10
CH,LK,10
CH,IR,10
CH,AE,10
CH,ID,10
CH,TR,10
CH,PK,10
CH,CN,10
CH,TH,40
CH,AU,10
BE,NG,10
BE,MA,10
BE,ZA,10
BE,SN,10
BE,KE,10
BE,FR,10
BE,IT,10
BE,ES,10
BE,DE,10
BE,CH,10
BE,BE,40
BE,AL,10
BE,GB,10
BE,AT,10
BE,FI,10
BE,CA,10
BE,MX,10
BE,US,40
BE,GT,10
BE,CU,10
BE,EC,10
BE,BR,10
BE,VE,40
BE,CL,10
BE,AR,10
BE,BO,10
BE,NI,10
BE,IN,10
BE,JP,10
BE,MY,10
BE,LK,10
BE,IR,10
BE,AE,10
BE,ID,10
BE,TR,10
BE,PK,10
BE,CN,10
BE,TH,10
BE,AU,10
AL,NG,10
AL,MA,10
AL,ZA,10
AL,SN,10
AL,KE,10
AL,FR,10
AL,IT,10
AL,ES,10
AL,DE,10
AL,CH,10
AL,BE,10
AL,AL,10
AL,GB,10
AL,AT,10
AL,FI,10
AL,CA,30
AL,MX,10
AL,US,10
AL,GT,10
AL,CU,10
AL,EC,10
AL,BR,10
AL,VE,10
AL,CL,10
AL,AR,10
AL,BO,10
AL,NI,10
AL,IN,10
AL,JP,10
AL,MY,10
AL,LK,10
AL,IR,10
AL,AE,10
AL,ID,10
AL,TR,10
AL,PK,10
AL,CN,10
AL,TH,10
AL,AU,10
GB,NG,10
GB,MA,10
GB,ZA,10
GB,SN,10
GB,KE,10
GB,FR,10
GB,IT,10
GB,ES,40
GB,DE,10
GB,CH,10
GB,BE,10
GB,AL,10
GB,GB,40
GB,AT,10
GB,FI,40
GB,CA,10
GB,MX,10
GB,US,10
GB,GT,10
GB,CU,10
GB,EC,10
GB,BR,10
GB,VE,10
GB,CL,10
GB,AR,10
GB,BO,10
GB,NI,10
GB,IN,10
GB,JP,10
GB,MY,10
GB,LK,10
GB,IR,10
GB,AE,10
GB,ID,10
GB,TR,10
GB,PK,10
GB,CN,10
GB,TH,10
GB,AU,10
AT,NG,10
